Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
10945,classifier.3,"(4020, 575)",26,12630,12630,0,0
10946,classifier.3,"(1220, 1658)",3,12630,12630,0,0
10947,classifier.3,"(3095, 912)",22,12630,12630,0,0
10948,classifier.3,"(460, 3923)",7,12630,11883,747,0
10949,classifier.3,"(413, 3537)",25,12630,11179,1451,0
10950,classifier.3,"(997, 3254)",3,12630,12627,3,0
10951,classifier.3,"(1804, 3550)",29,12630,12630,0,0
10952,classifier.3,"(472, 2716)",3,12630,12630,0,0
10953,classifier.3,"(2205, 970)",7,12630,12630,0,0
10954,classifier.3,"(3769, 3844)",28,12630,12630,0,0
10955,classifier.3,"(3528, 1660)",6,12630,12627,3,0
10956,classifier.3,"(2335, 3378)",28,12630,12630,0,0
10957,classifier.3,"(264, 3172)",3,12630,12620,10,0
10958,classifier.3,"(3778, 2221)",26,12630,12630,0,0
10959,classifier.3,"(567, 1218)",9,12630,12630,0,0
10960,classifier.3,"(1793, 150)",31,12630,12630,0,0
10961,classifier.3,"(2547, 3842)",28,12630,12630,0,0
10962,classifier.3,"(1254, 2096)",13,12630,12630,0,0
10963,classifier.3,"(3729, 2852)",25,12630,12630,0,0
10964,classifier.3,"(3208, 3529)",11,12630,12630,0,0
10965,classifier.3,"(3661, 2077)",11,12630,12630,0,0
10966,classifier.3,"(1919, 100)",2,12630,12629,1,0
10967,classifier.3,"(3606, 530)",20,12630,12630,0,0
10968,classifier.3,"(2108, 3998)",21,12630,12606,24,0
10969,classifier.3,"(2907, 130)",7,12630,12630,0,0
10970,classifier.3,"(1592, 1770)",24,12630,12630,0,0
10971,classifier.3,"(3705, 1240)",5,12630,12628,2,0
10972,classifier.3,"(537, 2683)",24,12630,12630,0,0
10973,classifier.3,"(3654, 541)",17,12630,12630,0,0
10974,classifier.3,"(145, 1305)",11,12630,12630,0,0
10975,classifier.3,"(2406, 3323)",19,12630,12630,0,0
10976,classifier.3,"(975, 1965)",28,12630,12630,0,0
10977,classifier.3,"(653, 3441)",20,12630,12630,0,0
10978,classifier.3,"(458, 2281)",10,12630,12630,0,0
10979,classifier.3,"(1774, 866)",23,12630,10693,1937,0
10980,classifier.3,"(3344, 1931)",30,12630,12630,0,0
10981,classifier.3,"(702, 1824)",7,12630,12630,0,0
10982,classifier.3,"(513, 2986)",6,12630,12630,0,0
10983,classifier.3,"(610, 1976)",24,12630,12630,0,0
10984,classifier.3,"(191, 215)",17,12630,12361,269,0
10985,classifier.3,"(3605, 394)",19,12630,11344,1286,0
10986,classifier.3,"(3540, 2500)",18,12630,12056,574,0
10987,classifier.3,"(2144, 491)",22,12630,12630,0,0
10988,classifier.3,"(531, 2691)",6,12630,12518,112,0
10989,classifier.3,"(1824, 2088)",9,12630,12458,172,0
10990,classifier.3,"(4051, 762)",4,12630,12630,0,0
10991,classifier.3,"(1315, 3555)",3,12630,12630,0,0
10992,classifier.3,"(172, 3489)",3,12630,12626,4,0
10993,classifier.3,"(3463, 594)",18,12630,12630,0,0
10994,classifier.3,"(2525, 661)",27,12630,12044,586,0
10995,classifier.3,"(3495, 3184)",6,12630,12626,4,0
10996,classifier.3,"(842, 3906)",29,12630,12630,0,0
10997,classifier.3,"(1246, 2279)",10,12630,12630,0,0
10998,classifier.3,"(16, 3352)",30,12630,12630,0,0
10999,classifier.3,"(410, 244)",21,12630,12630,0,0
11000,classifier.3,"(2823, 1258)",17,12630,12630,0,0
11001,classifier.3,"(95, 2088)",30,12630,11809,821,0
