Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
123,conv2_x.1.residual_function.0,"(3, 39, 2, 2)",24,10000,52,9946,2
124,conv2_x.1.residual_function.0,"(50, 25, 0, 2)",15,10000,0,9999,1
125,conv2_x.1.residual_function.0,"(13, 38, 2, 2)",7,10000,10000,0,0
126,conv2_x.1.residual_function.0,"(5, 44, 2, 1)",23,10000,0,9997,3
127,conv2_x.1.residual_function.0,"(8, 43, 0, 1)",31,10000,0,9997,3
128,conv2_x.1.residual_function.0,"(13, 55, 1, 2)",29,10000,20,9978,2
129,conv2_x.1.residual_function.0,"(19, 55, 0, 2)",17,10000,582,9417,1
130,conv2_x.1.residual_function.0,"(61, 59, 1, 2)",17,10000,3661,6338,1
131,conv2_x.1.residual_function.0,"(41, 31, 0, 1)",28,10000,0,9993,7
132,conv2_x.1.residual_function.0,"(31, 59, 2, 2)",24,10000,1213,8786,1
133,conv2_x.1.residual_function.0,"(43, 3, 1, 1)",11,10000,10000,0,0
134,conv2_x.1.residual_function.0,"(62, 27, 1, 1)",21,10000,110,9888,2
135,conv2_x.1.residual_function.0,"(35, 35, 2, 0)",12,10000,6,9992,2
136,conv2_x.1.residual_function.0,"(10, 30, 2, 1)",31,10000,14,9981,5
137,conv2_x.1.residual_function.0,"(30, 60, 2, 2)",31,10000,0,9996,4
138,conv2_x.1.residual_function.0,"(57, 2, 0, 1)",14,10000,3,9996,1
139,conv2_x.1.residual_function.0,"(51, 31, 1, 2)",23,10000,28,9971,1
140,conv2_x.1.residual_function.0,"(60, 44, 1, 2)",21,10000,0,9998,2
141,conv2_x.1.residual_function.0,"(45, 58, 1, 1)",16,10000,0,9997,3
142,conv2_x.1.residual_function.0,"(29, 15, 2, 0)",20,10000,81,9917,2
143,conv2_x.1.residual_function.0,"(15, 23, 0, 0)",30,10000,0,95,9905
144,conv2_x.1.residual_function.0,"(35, 36, 0, 0)",18,10000,0,10000,0
145,conv2_x.1.residual_function.0,"(29, 46, 0, 1)",0,10000,10000,0,0
146,conv2_x.1.residual_function.0,"(16, 35, 0, 0)",18,10000,1,9997,2
147,conv2_x.1.residual_function.0,"(16, 62, 0, 0)",18,10000,1,9998,1
148,conv2_x.1.residual_function.0,"(60, 61, 1, 1)",11,10000,10000,0,0
149,conv2_x.1.residual_function.0,"(6, 32, 1, 0)",4,10000,10000,0,0
150,conv2_x.1.residual_function.0,"(51, 62, 0, 2)",3,10000,10000,0,0
151,conv2_x.1.residual_function.0,"(19, 19, 2, 1)",5,10000,10000,0,0
152,conv2_x.1.residual_function.0,"(31, 15, 2, 1)",14,10000,1516,8484,0
153,conv2_x.1.residual_function.0,"(48, 57, 1, 1)",27,10000,0,9953,47
154,conv2_x.1.residual_function.0,"(39, 7, 2, 2)",6,10000,10000,0,0
155,conv2_x.1.residual_function.0,"(26, 27, 1, 2)",5,10000,10000,0,0
156,conv2_x.1.residual_function.0,"(20, 30, 0, 2)",4,10000,10000,0,0
157,conv2_x.1.residual_function.0,"(20, 0, 1, 1)",30,10000,1378,8605,17
158,conv2_x.1.residual_function.0,"(37, 4, 0, 1)",18,10000,2375,7625,0
159,conv2_x.1.residual_function.0,"(58, 9, 2, 0)",16,10000,5,9993,2
160,conv2_x.1.residual_function.0,"(25, 54, 0, 2)",14,10000,5947,4053,0
161,conv2_x.1.residual_function.0,"(19, 34, 0, 0)",3,10000,10000,0,0
162,conv2_x.1.residual_function.0,"(21, 39, 2, 2)",18,10000,3348,6652,0
163,conv2_x.1.residual_function.0,"(56, 15, 1, 2)",19,10000,1092,8905,3
164,conv2_x.1.residual_function.0,"(51, 34, 2, 2)",31,10000,47,9947,6
165,conv2_x.1.residual_function.0,"(56, 10, 2, 0)",27,10000,8270,1730,0
166,conv2_x.1.residual_function.0,"(41, 32, 0, 0)",14,10000,0,9998,2
167,conv2_x.1.residual_function.0,"(2, 34, 2, 0)",11,10000,10000,0,0
168,conv2_x.1.residual_function.3,"(60, 56, 1, 0)",27,10000,834,9164,2
169,conv2_x.1.residual_function.3,"(62, 11, 1, 1)",26,10000,0,9992,8
170,conv2_x.1.residual_function.3,"(42, 41, 2, 0)",10,10000,10000,0,0
171,conv2_x.1.residual_function.3,"(42, 52, 2, 1)",18,10000,13,9986,1
172,conv2_x.1.residual_function.3,"(51, 4, 1, 0)",20,10000,0,9998,2
173,conv2_x.1.residual_function.3,"(32, 41, 0, 1)",0,10000,10000,0,0
174,conv2_x.1.residual_function.3,"(59, 52, 0, 0)",23,10000,0,9996,4
175,conv2_x.1.residual_function.3,"(63, 56, 0, 0)",17,10000,783,9215,2
176,conv2_x.1.residual_function.3,"(16, 36, 1, 2)",31,10000,0,9998,2
177,conv2_x.1.residual_function.3,"(15, 3, 2, 2)",15,10000,0,9998,2
178,conv2_x.1.residual_function.3,"(20, 39, 2, 0)",26,10000,0,9807,193
179,conv2_x.1.residual_function.3,"(11, 28, 0, 1)",7,10000,10000,0,0
180,conv2_x.1.residual_function.3,"(19, 63, 2, 1)",17,10000,0,9998,2
181,conv2_x.1.residual_function.3,"(53, 61, 1, 0)",29,10000,0,9998,2
182,conv2_x.1.residual_function.3,"(18, 49, 0, 2)",8,10000,10000,0,0
183,conv2_x.1.residual_function.3,"(8, 35, 1, 1)",17,10000,0,9998,2
184,conv2_x.1.residual_function.3,"(0, 36, 2, 1)",31,10000,0,9997,3
185,conv2_x.1.residual_function.3,"(19, 57, 2, 1)",22,10000,0,9997,3
186,conv2_x.1.residual_function.3,"(42, 48, 1, 1)",12,10000,1,9998,1
187,conv2_x.1.residual_function.3,"(30, 49, 0, 1)",2,10000,10000,0,0
188,conv2_x.1.residual_function.3,"(40, 60, 2, 1)",24,10000,0,9998,2
189,conv2_x.1.residual_function.3,"(19, 63, 0, 0)",21,10000,0,9998,2
190,conv2_x.1.residual_function.3,"(12, 56, 0, 2)",29,10000,118,9881,1
191,conv2_x.1.residual_function.3,"(1, 18, 1, 2)",9,10000,10000,0,0
192,conv2_x.1.residual_function.3,"(9, 60, 1, 1)",25,10000,0,9956,44
193,conv2_x.1.residual_function.3,"(10, 42, 2, 2)",24,10000,4214,5786,0
194,conv2_x.1.residual_function.3,"(40, 62, 2, 0)",4,10000,10000,0,0
195,conv2_x.1.residual_function.3,"(30, 36, 0, 2)",5,10000,10000,0,0
196,conv2_x.1.residual_function.3,"(55, 12, 2, 2)",6,10000,10000,0,0
197,conv2_x.1.residual_function.3,"(56, 21, 2, 1)",1,10000,10000,0,0
198,conv2_x.1.residual_function.3,"(5, 41, 0, 1)",22,10000,0,9996,4
199,conv2_x.1.residual_function.3,"(47, 55, 0, 0)",26,10000,0,9942,58
200,conv2_x.1.residual_function.3,"(23, 21, 0, 0)",24,10000,3,9995,2
201,conv2_x.1.residual_function.3,"(30, 63, 2, 0)",14,10000,0,9999,1
202,conv2_x.1.residual_function.3,"(59, 32, 1, 1)",0,10000,10000,0,0
203,conv2_x.1.residual_function.3,"(59, 36, 2, 2)",10,10000,10000,0,0
204,conv2_x.1.residual_function.3,"(9, 56, 1, 2)",19,10000,184,9814,2
205,conv2_x.1.residual_function.3,"(54, 32, 1, 1)",12,10000,44,9954,2
206,conv2_x.1.residual_function.3,"(49, 61, 0, 0)",24,10000,0,9990,10
207,conv2_x.1.residual_function.3,"(45, 37, 2, 1)",1,10000,10000,0,0
208,conv2_x.1.residual_function.3,"(50, 35, 0, 2)",3,10000,10000,0,0
209,conv2_x.1.residual_function.3,"(63, 36, 0, 2)",22,10000,0,9997,3
210,conv2_x.1.residual_function.3,"(28, 24, 2, 1)",8,10000,10000,0,0
211,conv2_x.1.residual_function.3,"(12, 5, 1, 1)",2,10000,10000,0,0
212,conv2_x.1.residual_function.3,"(46, 16, 0, 1)",20,10000,5,9994,1
213,conv2_x.1.residual_function.3,"(53, 22, 0, 0)",23,10000,0,9999,1
214,conv2_x.1.residual_function.3,"(34, 21, 1, 1)",18,10000,1122,8878,0
215,conv2_x.1.residual_function.3,"(43, 14, 1, 0)",9,10000,10000,0,0
216,conv2_x.1.residual_function.3,"(28, 50, 2, 1)",5,10000,10000,0,0
217,conv2_x.1.residual_function.3,"(50, 1, 1, 2)",7,10000,10000,0,0
218,conv2_x.1.residual_function.3,"(58, 47, 2, 2)",16,10000,0,9997,3
219,conv2_x.1.residual_function.3,"(48, 47, 0, 2)",14,10000,7,9991,2
