Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15406,layer3.2.conv2,"(57, 0, 0, 0)",19,12630,1,12629,0
15407,layer3.2.conv2,"(62, 19, 2, 0)",27,12630,357,12268,5
15408,layer3.2.conv2,"(62, 31, 2, 2)",27,12630,389,12241,0
15409,layer3.2.conv2,"(49, 61, 1, 0)",27,12630,4,12626,0
15410,layer3.2.conv2,"(47, 26, 1, 1)",29,12630,0,12630,0
15411,layer3.2.conv2,"(3, 31, 2, 2)",11,12630,12630,0,0
15412,layer3.2.conv2,"(61, 38, 2, 2)",5,12630,12630,0,0
15413,layer3.2.conv2,"(38, 29, 2, 0)",28,12630,13,12617,0
15414,layer3.2.conv2,"(40, 0, 1, 0)",0,12630,12630,0,0
15415,layer3.2.conv2,"(24, 27, 1, 0)",6,12630,12630,0,0
15416,layer3.2.conv2,"(37, 54, 1, 0)",22,12630,0,12630,0
15417,layer3.2.conv2,"(9, 10, 2, 2)",11,12630,12630,0,0
15418,layer3.2.conv2,"(62, 6, 0, 0)",10,12630,12630,0,0
15419,layer3.2.conv2,"(37, 8, 0, 1)",2,12630,12630,0,0
15420,layer3.2.conv2,"(39, 24, 1, 1)",22,12630,5,12625,0
15421,layer3.2.conv2,"(47, 57, 2, 1)",27,12630,0,12630,0
15422,layer3.2.conv2,"(31, 38, 0, 2)",5,12630,12630,0,0
15423,layer3.2.conv2,"(16, 63, 1, 2)",17,12630,571,12059,0
15424,layer3.2.conv2,"(20, 62, 1, 1)",19,12630,0,12630,0
15425,layer3.2.conv2,"(57, 23, 0, 1)",3,12630,12630,0,0
15426,layer3.2.conv2,"(10, 19, 1, 2)",24,12630,218,12410,2
15427,layer3.2.conv2,"(59, 45, 2, 1)",30,12630,12,466,12152
15428,layer3.2.conv2,"(49, 26, 0, 1)",7,12630,12630,0,0
15429,layer3.2.conv2,"(9, 25, 1, 0)",29,12630,0,12629,1
15430,layer3.2.conv2,"(3, 58, 0, 1)",20,12630,9,12621,0
15431,layer3.2.conv2,"(6, 14, 1, 0)",13,12630,190,12440,0
15432,layer3.2.conv2,"(56, 50, 0, 0)",20,12630,214,12416,0
15433,layer3.2.conv2,"(20, 36, 0, 2)",6,12630,12630,0,0
15434,layer3.2.conv2,"(54, 35, 1, 0)",16,12630,619,12011,0
