Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
12525,layers.16.conv3,"(2, 934, 0, 0)",3,10000,10000,0,0
12526,layers.16.conv3,"(282, 656, 0, 0)",12,10000,10000,0,0
12527,layers.16.conv3,"(22, 604, 0, 0)",4,10000,10000,0,0
12528,layers.16.conv3,"(114, 211, 0, 0)",16,10000,10000,0,0
12529,layers.16.conv3,"(164, 806, 0, 0)",26,10000,10000,0,0
12530,layers.16.conv3,"(8, 508, 0, 0)",12,10000,12,9988,0
12531,layers.16.conv3,"(17, 420, 0, 0)",12,10000,10000,0,0
12532,layers.16.conv3,"(140, 343, 0, 0)",23,10000,169,9831,0
12533,layers.16.conv3,"(59, 629, 0, 0)",21,10000,10000,0,0
12534,layers.16.conv3,"(170, 555, 0, 0)",15,10000,10000,0,0
12535,layers.16.conv3,"(61, 388, 0, 0)",30,10000,8759,1241,0
12536,layers.16.conv3,"(262, 435, 0, 0)",28,10000,10000,0,0
12537,layers.16.conv3,"(214, 796, 0, 0)",6,10000,1711,8286,3
12538,layers.16.conv3,"(68, 542, 0, 0)",22,10000,10000,0,0
12539,layers.16.conv3,"(162, 803, 0, 0)",6,10000,10000,0,0
12540,layers.16.conv3,"(18, 713, 0, 0)",5,10000,491,9508,1
12541,layers.16.conv3,"(203, 877, 0, 0)",24,10000,10000,0,0
12542,layers.16.conv3,"(200, 483, 0, 0)",6,10000,621,9379,0
12543,layers.16.conv3,"(108, 274, 0, 0)",8,10000,10000,0,0
12544,layers.16.conv3,"(311, 150, 0, 0)",17,10000,10000,0,0
12545,layers.16.conv3,"(86, 871, 0, 0)",11,10000,1054,8946,0
12546,layers.16.conv3,"(129, 461, 0, 0)",22,10000,1003,8997,0
12547,layers.16.conv3,"(148, 363, 0, 0)",20,10000,617,9383,0
12548,layers.16.conv3,"(133, 553, 0, 0)",24,10000,10000,0,0
12549,layers.16.conv3,"(293, 51, 0, 0)",30,10000,1641,8359,0
12550,layers.16.conv3,"(263, 540, 0, 0)",17,10000,10000,0,0
12551,layers.16.conv3,"(0, 405, 0, 0)",24,10000,9693,307,0
12552,layers.16.conv3,"(296, 774, 0, 0)",19,10000,38,9962,0
12553,layers.16.conv3,"(24, 353, 0, 0)",1,10000,10000,0,0
12554,layers.16.conv3,"(95, 936, 0, 0)",29,10000,10000,0,0
12555,layers.16.conv3,"(255, 198, 0, 0)",21,10000,10000,0,0
12556,layers.16.conv3,"(117, 20, 0, 0)",13,10000,10000,0,0
12557,layers.16.conv3,"(103, 396, 0, 0)",3,10000,4447,5553,0
12558,layers.16.conv3,"(176, 144, 0, 0)",22,10000,303,9697,0
12559,layers.16.conv3,"(119, 553, 0, 0)",9,10000,10000,0,0
12560,layers.16.conv3,"(229, 602, 0, 0)",9,10000,5128,4872,0
12561,layers.16.conv3,"(191, 225, 0, 0)",22,10000,10000,0,0
12562,layers.16.conv3,"(266, 775, 0, 0)",19,10000,10000,0,0
12563,layers.16.conv3,"(40, 432, 0, 0)",17,10000,2821,7179,0
12564,layers.16.conv3,"(90, 140, 0, 0)",7,10000,10000,0,0
12565,layers.16.conv3,"(45, 762, 0, 0)",17,10000,651,9349,0
12566,layers.16.conv3,"(158, 662, 0, 0)",9,10000,3662,871,5467
12567,layers.16.conv3,"(152, 774, 0, 0)",1,10000,10000,0,0
12568,layers.16.conv3,"(36, 398, 0, 0)",31,10000,5138,4862,0
12569,layers.16.conv3,"(52, 252, 0, 0)",31,10000,10000,0,0
12570,layers.16.conv3,"(118, 15, 0, 0)",19,10000,10000,0,0
12571,layers.16.conv3,"(201, 10, 0, 0)",31,10000,10000,0,0
12572,layers.16.conv3,"(88, 58, 0, 0)",15,10000,10000,0,0
12573,layers.16.conv3,"(91, 691, 0, 0)",18,10000,5478,4522,0
12574,layers.16.conv3,"(155, 946, 0, 0)",10,10000,0,9999,1
12575,layers.16.conv3,"(38, 455, 0, 0)",13,10000,0,10000,0
12576,layers.16.conv3,"(158, 204, 0, 0)",17,10000,10000,0,0
12577,layers.16.conv3,"(172, 373, 0, 0)",10,10000,10000,0,0
12578,layers.16.conv3,"(307, 16, 0, 0)",5,10000,10000,0,0
12579,layers.16.conv3,"(81, 541, 0, 0)",27,10000,10000,0,0
12580,layers.16.conv3,"(234, 449, 0, 0)",18,10000,10000,0,0
12581,layers.16.conv3,"(204, 916, 0, 0)",15,10000,6096,3904,0
12582,layers.16.conv3,"(105, 781, 0, 0)",18,10000,10000,0,0
12583,layers.16.conv3,"(267, 761, 0, 0)",22,10000,10000,0,0
12584,layers.16.conv3,"(97, 87, 0, 0)",2,10000,10000,0,0
12585,layers.16.conv3,"(34, 774, 0, 0)",7,10000,10000,0,0
12586,layers.16.conv3,"(263, 480, 0, 0)",30,10000,10000,0,0
12587,layers.16.conv3,"(116, 911, 0, 0)",24,10000,10000,0,0
12588,layers.16.conv3,"(236, 551, 0, 0)",19,10000,10000,0,0
12589,layers.16.conv3,"(198, 286, 0, 0)",1,10000,0,10000,0
12590,layers.16.conv3,"(260, 829, 0, 0)",9,10000,10000,0,0
12591,layers.16.conv3,"(135, 647, 0, 0)",27,10000,573,9427,0
12592,layers.16.conv3,"(156, 735, 0, 0)",13,10000,6779,3221,0
12593,layers.16.conv3,"(76, 255, 0, 0)",16,10000,10000,0,0
